date,death,state,is_predict
6/3/2020,0,AK,Historical
7/3/2020,0,AK,Historical
8/3/2020,0,AK,Historical
9/3/2020,0,AK,Historical
10/3/2020,0,AK,Historical
11/3/2020,0,AK,Historical
12/3/2020,0,AK,Historical
13/3/2020,0,AK,Historical
14/3/2020,0,AK,Historical
15/3/2020,0,AK,Historical
16/3/2020,0,AK,Historical
17/3/2020,0,AK,Historical
18/3/2020,0,AK,Historical
19/3/2020,0,AK,Historical
20/3/2020,0,AK,Historical
21/3/2020,0,AK,Historical
22/3/2020,0,AK,Historical
23/3/2020,0,AK,Historical
24/3/2020,0,AK,Historical
25/3/2020,1,AK,Historical
26/3/2020,1,AK,Historical
27/3/2020,1,AK,Historical
28/3/2020,2,AK,Historical
29/3/2020,2,AK,Historical
30/3/2020,3,AK,Historical
31/3/2020,3,AK,Historical
1/4/2020,3,AK,Historical
2/4/2020,3,AK,Historical
3/4/2020,3,AK,Historical
4/4/2020,5,AK,Historical
5/4/2020,6,AK,Historical
6/4/2020,6,AK,Historical
7/4/2020,6,AK,Historical
8/4/2020,7,AK,Historical
9/4/2020,7,AK,Historical
10/4/2020,7,AK,Historical
11/4/2020,8,AK,Historical
12/4/2020,8,AK,Historical
13/4/2020,8,AK,Historical
14/4/2020,9,AK,Historical
15/4/2020,9,AK,Historical
16/4/2020,9,AK,Historical
17/4/2020,9,AK,Historical
18/4/2020,9,AK,Historical
19/4/2020,9,AK,Historical
20/4/2020,9,AK,Historical
21/4/2020,9,AK,Historical
22/4/2020,9,AK,Historical
23/4/2020,9,AK,Historical
24/4/2020,9,AK,Historical
25/4/2020,9,AK,Historical
26/4/2020,9,AK,Historical
27/4/2020,9,AK,Historical
28/4/2020,9,AK,Historical
29/4/2020,9,AK,Historical
30/4/2020,9,AK,Historical
1/5/2020,9,AK,Historical
2/5/2020,9,AK,Historical
3/5/2020,9,AK,Historical
4/5/2020,9,AK,Historical
5/5/2020,9,AK,Historical
6/5/2020,10,AK,Historical
7/5/2020,10,AK,Historical
8/5/2020,10,AK,Historical
9/5/2020,10,AK,Historical
10/5/2020,10,AK,Historical
11/5/2020,10,AK,Historical
12/5/2020,10,AK,Historical
13/5/2020,10,AK,Historical
14/5/2020,10,AK,Historical
15/5/2020,10,AK,Historical
16/5/2020,10,AK,Historical
17/5/2020,10,AK,Historical
18/5/2020,10,AK,Historical
19/5/2020,10,AK,Historical
20/5/2020,10,AK,Historical
21/5/2020,10,AK,Historical
22/5/2020,10,AK,Historical
23/5/2020,10,AK,Historical
24/5/2020,10,AK,Historical
25/5/2020,10,AK,Historical
26/5/2020,10,AK,Historical
27/5/2020,10,AK,Historical
28/5/2020,10,AK,Historical
29/5/2020,10,AK,Historical
30/5/2020,10,AK,Historical
31/5/2020,10,AK,Historical
1/6/2020,10,AK,Historical
2/6/2020,10,AK,Historical
3/6/2020,10,AK,Historical
4/6/2020,10,AK,Historical
5/6/2020,10,AK,Historical
6/6/2020,10,AK,Historical
7/6/2020,10,AK,Historical
8/6/2020,10,AK,Historical
9/6/2020,11,AK,Historical
10/6/2020,11,AK,Historical
11/6/2020,11,AK,Historical
12/6/2020,12,AK,Historical
13/6/2020,12,AK,Historical
14/6/2020,12,AK,Historical
15/6/2020,12,AK,Historical
16/6/2020,12,AK,Historical
17/6/2020,12,AK,Historical
18/6/2020,12,AK,Historical
19/6/2020,12,AK,Historical
20/6/2020,12,AK,Historical
21/6/2020,12,AK,Historical
22/6/2020,12,AK,Historical
23/6/2020,12,AK,Historical
24/6/2020,12,AK,Historical
25/6/2020,12,AK,Historical
26/6/2020,14,AK,Historical
27/6/2020,14,AK,Historical
28/6/2020,14,AK,Historical
29/6/2020,14,AK,Historical
30/6/2020,14,AK,Historical
1/7/2020,14,AK,Historical
2/7/2020,14,AK,Historical
3/7/2020,15,AK,Historical
4/7/2020,16,AK,Historical
5/7/2020,16,AK,Historical
6/7/2020,16,AK,Historical
7/7/2020,17,AK,Historical
8/7/2020,17,AK,Historical
9/7/2020,17,AK,Historical
10/7/2020,17,AK,Historical
11/7/2020,17,AK,Historical
12/7/2020,17,AK,Historical
13/7/2020,17,AK,Historical
14/7/2020,17,AK,Historical
15/7/2020,17,AK,Historical
16/7/2020,17,AK,Historical
17/7/2020,17,AK,Historical
18/7/2020,18,AK,Historical
19/7/2020,18,AK,Historical
20/7/2020,18,AK,Historical
21/7/2020,18,AK,Historical
22/7/2020,19,AK,Historical
23/7/2020,19,AK,Historical
24/7/2020,19,AK,Historical
25/7/2020,20,AK,Historical
26/7/2020,20,AK,Historical
27/7/2020,21,AK,Historical
28/7/2020,22,AK,Historical
29/7/2020,22,AK,Historical
30/7/2020,23,AK,Historical
31/7/2020,23,AK,Historical
1/8/2020,24,AK,Historical
2/8/2020,24,AK,Historical
3/8/2020,25,AK,Historical
4/8/2020,25,AK,Historical
5/8/2020,25,AK,Historical
6/8/2020,25,AK,Historical
7/8/2020,25,AK,Historical
8/8/2020,26,AK,Historical
9/8/2020,26,AK,Historical
10/8/2020,26,AK,Historical
11/8/2020,26,AK,Historical
12/8/2020,27,AK,Historical
13/8/2020,27,AK,Historical
14/8/2020,27,AK,Historical
15/8/2020,28,AK,Historical
16/8/2020,28,AK,Historical
17/8/2020,28,AK,Historical
18/8/2020,29,AK,Historical
19/8/2020,29,AK,Historical
20/8/2020,29,AK,Historical
21/8/2020,30,AK,Historical
22/8/2020,31,AK,Historical
23/8/2020,32,AK,Historical
24/8/2020,32,AK,Historical
25/8/2020,36,AK,Historical
26/8/2020,37,AK,Historical
27/8/2020,37,AK,Historical
28/8/2020,37,AK,Historical
29/8/2020,37,AK,Historical
30/8/2020,37,AK,Historical
31/8/2020,37,AK,Historical
1/9/2020,39,AK,Historical
2/9/2020,39,AK,Historical
3/9/2020,40,AK,Historical
4/9/2020,40,AK,Historical
5/9/2020,42,AK,Historical
6/9/2020,42,AK,Historical
7/9/2020,42,AK,Historical
8/9/2020,42,AK,Historical
9/9/2020,42,AK,Historical
10/9/2020,42,AK,Historical
11/9/2020,43,AK,Historical
12/9/2020,44,AK,Historical
13/9/2020,44,AK,Historical
14/9/2020,44,AK,Historical
15/9/2020,44,AK,Historical
16/9/2020,44,AK,Historical
17/9/2020,44,AK,Historical
18/9/2020,45,AK,Historical
19/9/2020,45,AK,Historical
20/9/2020,45,AK,Historical
21/9/2020,45,AK,Historical
22/9/2020,45,AK,Historical
23/9/2020,45,AK,Historical
24/9/2020,45,AK,Historical
25/9/2020,51,AK,Historical
26/9/2020,52,AK,Historical
27/9/2020,56,AK,Historical
28/9/2020,56,AK,Historical
29/9/2020,56,AK,Historical
30/9/2020,56,AK,Historical
1/10/2020,57,AK,Historical
2/10/2020,57,AK,Historical
3/10/2020,58,AK,Historical
4/10/2020,58,AK,Historical
5/10/2020,58,AK,Historical
6/10/2020,58,AK,Historical
7/10/2020,59,AK,Historical
8/10/2020,60,AK,Historical
9/10/2020,60,AK,Historical
10/10/2020,60,AK,Historical
11/10/2020,60,AK,Historical
12/10/2020,60,AK,Historical
13/10/2020,60,AK,Historical
14/10/2020,64,AK,Historical
15/10/2020,65,AK,Historical
16/10/2020,66,AK,Historical
17/10/2020,67,AK,Historical
18/10/2020,67,AK,Historical
19/10/2020,67,AK,Historical
20/10/2020,67,AK,Historical
21/10/2020,68,AK,Historical
22/10/2020,68,AK,Historical
23/10/2020,68,AK,Historical
24/10/2020,68,AK,Historical
25/10/2020,68,AK,Historical
26/10/2020,68,AK,Historical
27/10/2020,70,AK,Historical
28/10/2020,71,AK,Historical
29/10/2020,77,AK,Historical
30/10/2020,81,AK,Historical
31/10/2020,82,AK,Historical
1/11/2020,83,AK,Historical
2/11/2020,84,AK,Historical
3/11/2020,84,AK,Historical
4/11/2020,84,AK,Historical
5/11/2020,84,AK,Historical
6/11/2020,84,AK,Historical
7/11/2020,84,AK,Historical
8/11/2020,84,AK,Historical
9/11/2020,84,AK,Historical
10/11/2020,92,AK,Historical
11/11/2020,96,AK,Historical
12/11/2020,96,AK,Historical
13/11/2020,96,AK,Historical
14/11/2020,98,AK,Historical
15/11/2020,98,AK,Historical
16/11/2020,98,AK,Historical
17/11/2020,100,AK,Historical
18/11/2020,100,AK,Historical
19/11/2020,101,AK,Historical
20/11/2020,101,AK,Historical
21/11/2020,102,AK,Historical
22/11/2020,103,AK,Historical
23/11/2020,103,AK,Historical
24/11/2020,116,AK,Historical
25/11/2020,116,AK,Historical
26/11/2020,119,AK,Historical
27/11/2020,119,AK,Historical
28/11/2020,121,AK,Historical
29/11/2020,121,AK,Historical
30/11/2020,121,AK,Historical
1/12/2020,122,AK,Historical
2/12/2020,122,AK,Historical
3/12/2020,130,AK,Historical
4/12/2020,142,AK,Historical
5/12/2020,143,AK,Historical
6/12/2020,143,AK,Historical
7/12/2020,146,AK,Historical
8/12/2020,146,AK,Historical
9/12/2020,150,AK,Historical
10/12/2020,155,AK,Historical
11/12/2020,158,AK,Historical
12/12/2020,176,AK,Historical
13/12/2020,176,AK,Historical
14/12/2020,176,AK,Historical
15/12/2020,179,AK,Historical
16/12/2020,181,AK,Historical
17/12/2020,183,AK,Historical
18/12/2020,183,AK,Historical
19/12/2020,184,AK,Historical
20/12/2020,184,AK,Historical
21/12/2020,184,AK,Historical
22/12/2020,194,AK,Historical
23/12/2020,197,AK,Historical
24/12/2020,199,AK,Historical
25/12/2020,199,AK,Historical
26/12/2020,200,AK,Historical
27/12/2020,200,AK,Historical
28/12/2020,200,AK,Historical
29/12/2020,201,AK,Historical
30/12/2020,203,AK,Historical
31/12/2020,206,AK,Historical
1/1/2021,206,AK,Historical
2/1/2021,215,AK,Historical
3/1/2021,215,AK,Historical
4/1/2021,218,AK,Historical
5/1/2021,218,AK,Historical
6/1/2021,220,AK,Historical
7/1/2021,223,AK,Historical
8/1/2021,223,AK,Historical
9/1/2021,224,AK,Historical
10/1/2021,224,AK,Historical
11/1/2021,224,AK,Historical
12/1/2021,224,AK,Historical
13/1/2021,226,AK,Historical
14/1/2021,228,AK,Historical
15/1/2021,229,AK,Historical
16/1/2021,229,AK,Historical
17/1/2021,229,AK,Historical
18/1/2021,229,AK,Historical
19/1/2021,230,AK,Historical
20/1/2021,253,AK,Historical
21/1/2021,254,AK,Historical
22/1/2021,254,AK,Historical
23/1/2021,259,AK,Historical
24/1/2021,259,AK,Historical
25/1/2021,259,AK,Historical
26/1/2021,260,AK,Historical
27/1/2021,261,AK,Historical
28/1/2021,262,AK,Historical
29/1/2021,262,AK,Historical
30/1/2021,262,AK,Historical
31/1/2021,262,AK,Historical
1/2/2021,262,AK,Historical
2/2/2021,279,AK,Historical
3/2/2021,279,AK,Historical
4/2/2021,279,AK,Historical
5/2/2021,279,AK,Historical
6/2/2021,279,AK,Historical
7/2/2021,279,AK,Historical
8/2/2021,279,AK,Historical
9/2/2021,280.8572063,AK,Predicted
10/2/2021,282.7144127,AK,Predicted
11/2/2021,284.571619,AK,Predicted
12/2/2021,286.4288254,AK,Predicted
13/2/2021,288.2860317,AK,Predicted
14/2/2021,290.143238,AK,Predicted
15/2/2021,292.0004444,AK,Predicted
16/2/2021,293.8576507,AK,Predicted
17/2/2021,295.7148571,AK,Predicted
18/2/2021,297.5720634,AK,Predicted
19/2/2021,299.4292697,AK,Predicted
20/2/2021,301.2864761,AK,Predicted
21/2/2021,303.1436824,AK,Predicted
22/2/2021,305.0008888,AK,Predicted
23/2/2021,306.8580951,AK,Predicted
24/2/2021,308.7153015,AK,Predicted
25/2/2021,310.5725078,AK,Predicted
26/2/2021,312.4297141,AK,Predicted
27/2/2021,314.2869205,AK,Predicted
28/2/2021,316.1441268,AK,Predicted
1/3/2021,318.0013332,AK,Predicted
2/3/2021,319.8585395,AK,Predicted
3/3/2021,321.7157458,AK,Predicted
4/3/2021,323.5729522,AK,Predicted
5/3/2021,325.4301585,AK,Predicted
6/3/2021,327.2873649,AK,Predicted
7/3/2021,329.1445712,AK,Predicted
8/3/2021,331.0017775,AK,Predicted
9/3/2021,332.8589839,AK,Predicted
10/3/2021,334.7161902,AK,Predicted
11/3/2021,336.5733966,AK,Predicted
12/3/2021,338.4306029,AK,Predicted
13/3/2021,340.2878092,AK,Predicted
14/3/2021,342.1450156,AK,Predicted
15/3/2021,344.0022219,AK,Predicted
16/3/2021,345.8594283,AK,Predicted
17/3/2021,347.7166346,AK,Predicted
18/3/2021,349.573841,AK,Predicted
19/3/2021,351.4310473,AK,Predicted
20/3/2021,353.2882536,AK,Predicted
21/3/2021,355.14546,AK,Predicted
22/3/2021,357.0026663,AK,Predicted
23/3/2021,358.8598727,AK,Predicted
24/3/2021,360.717079,AK,Predicted
25/3/2021,362.5742853,AK,Predicted
26/3/2021,364.4314917,AK,Predicted
27/3/2021,366.288698,AK,Predicted
28/3/2021,368.1459044,AK,Predicted
29/3/2021,370.0031107,AK,Predicted
30/3/2021,371.860317,AK,Predicted
31/3/2021,373.7175234,AK,Predicted
1/4/2021,375.5747297,AK,Predicted
2/4/2021,377.4319361,AK,Predicted
3/4/2021,379.2891424,AK,Predicted
4/4/2021,381.1463487,AK,Predicted
5/4/2021,383.0035551,AK,Predicted
6/4/2021,384.8607614,AK,Predicted
7/4/2021,386.7179678,AK,Predicted
8/4/2021,388.5751741,AK,Predicted
9/4/2021,390.4323805,AK,Predicted
10/4/2021,392.2895868,AK,Predicted
11/4/2021,394.1467931,AK,Predicted
12/4/2021,396.0039995,AK,Predicted
13/4/2021,397.8612058,AK,Predicted
14/4/2021,399.7184122,AK,Predicted
15/4/2021,401.5756185,AK,Predicted
16/4/2021,403.4328248,AK,Predicted
17/4/2021,405.2900312,AK,Predicted
18/4/2021,407.1472375,AK,Predicted
19/4/2021,409.0044439,AK,Predicted
20/4/2021,410.8616502,AK,Predicted
21/4/2021,412.7188565,AK,Predicted
22/4/2021,414.5760629,AK,Predicted
23/4/2021,416.4332692,AK,Predicted
24/4/2021,418.2904756,AK,Predicted
25/4/2021,420.1476819,AK,Predicted
26/4/2021,422.0048882,AK,Predicted
27/4/2021,423.8620946,AK,Predicted
28/4/2021,425.7193009,AK,Predicted
29/4/2021,427.5765073,AK,Predicted
30/4/2021,429.4337136,AK,Predicted
1/5/2021,431.29092,AK,Predicted
2/5/2021,433.1481263,AK,Predicted
3/5/2021,435.0053326,AK,Predicted
4/5/2021,436.862539,AK,Predicted
5/5/2021,438.7197453,AK,Predicted
6/5/2021,440.5769517,AK,Predicted
7/5/2021,442.434158,AK,Predicted
8/5/2021,444.2913643,AK,Predicted
9/5/2021,446.1485707,AK,Predicted
10/5/2021,448.005777,AK,Predicted
11/5/2021,449.8629834,AK,Predicted
12/5/2021,451.7201897,AK,Predicted
13/5/2021,453.577396,AK,Predicted
14/5/2021,455.4346024,AK,Predicted
15/5/2021,457.2918087,AK,Predicted
16/5/2021,459.1490151,AK,Predicted
17/5/2021,461.0062214,AK,Predicted
18/5/2021,462.8634277,AK,Predicted
19/5/2021,464.7206341,AK,Predicted
20/5/2021,466.5778404,AK,Predicted
21/5/2021,468.4350468,AK,Predicted
22/5/2021,470.2922531,AK,Predicted
23/5/2021,472.1494595,AK,Predicted
24/5/2021,474.0066658,AK,Predicted
25/5/2021,475.8638721,AK,Predicted
26/5/2021,477.7210785,AK,Predicted
27/5/2021,479.5782848,AK,Predicted
28/5/2021,481.4354912,AK,Predicted
29/5/2021,483.2926975,AK,Predicted
30/5/2021,485.1499038,AK,Predicted
31/5/2021,487.0071102,AK,Predicted
1/6/2021,488.8643165,AK,Predicted
2/6/2021,490.7215229,AK,Predicted
3/6/2021,492.5787292,AK,Predicted
4/6/2021,494.4359355,AK,Predicted
5/6/2021,496.2931419,AK,Predicted
6/6/2021,498.1503482,AK,Predicted
7/6/2021,500.0075546,AK,Predicted
8/6/2021,501.8647609,AK,Predicted
9/6/2021,503.7219672,AK,Predicted
10/6/2021,505.5791736,AK,Predicted
11/6/2021,507.4363799,AK,Predicted
12/6/2021,509.2935863,AK,Predicted
13/6/2021,511.1507926,AK,Predicted
14/6/2021,513.007999,AK,Predicted
15/6/2021,514.8652053,AK,Predicted
16/6/2021,516.7224116,AK,Predicted
17/6/2021,518.579618,AK,Predicted
18/6/2021,520.4368243,AK,Predicted
19/6/2021,522.2940307,AK,Predicted
20/6/2021,524.151237,AK,Predicted
21/6/2021,526.0084433,AK,Predicted
22/6/2021,527.8656497,AK,Predicted
23/6/2021,529.722856,AK,Predicted
24/6/2021,531.5800624,AK,Predicted
25/6/2021,533.4372687,AK,Predicted
26/6/2021,535.294475,AK,Predicted
27/6/2021,537.1516814,AK,Predicted
28/6/2021,539.0088877,AK,Predicted
29/6/2021,540.8660941,AK,Predicted
30/6/2021,542.7233004,AK,Predicted
1/7/2021,544.5805067,AK,Predicted
2/7/2021,546.4377131,AK,Predicted
3/7/2021,548.2949194,AK,Predicted
4/7/2021,550.1521258,AK,Predicted
5/7/2021,552.0093321,AK,Predicted
6/7/2021,553.8665385,AK,Predicted
7/7/2021,555.7237448,AK,Predicted
8/7/2021,557.5809511,AK,Predicted
9/7/2021,559.4381575,AK,Predicted
10/7/2021,561.2953638,AK,Predicted
11/7/2021,563.1525702,AK,Predicted
12/7/2021,565.0097765,AK,Predicted
13/7/2021,566.8669828,AK,Predicted
14/7/2021,568.7241892,AK,Predicted
15/7/2021,570.5813955,AK,Predicted
16/7/2021,572.4386019,AK,Predicted
17/7/2021,574.2958082,AK,Predicted
18/7/2021,576.1530145,AK,Predicted
19/7/2021,578.0102209,AK,Predicted
20/7/2021,579.8674272,AK,Predicted
21/7/2021,581.7246336,AK,Predicted
22/7/2021,583.5818399,AK,Predicted
23/7/2021,585.4390462,AK,Predicted
24/7/2021,587.2962526,AK,Predicted
25/7/2021,589.1534589,AK,Predicted
26/7/2021,591.0106653,AK,Predicted
27/7/2021,592.8678716,AK,Predicted
28/7/2021,594.725078,AK,Predicted
29/7/2021,596.5822843,AK,Predicted
30/7/2021,598.4394906,AK,Predicted
31/7/2021,600.296697,AK,Predicted
1/8/2021,602.1539033,AK,Predicted
2/8/2021,604.0111097,AK,Predicted
3/8/2021,605.868316,AK,Predicted
4/8/2021,607.7255223,AK,Predicted
5/8/2021,609.5827287,AK,Predicted
6/8/2021,611.439935,AK,Predicted
7/8/2021,613.2971414,AK,Predicted
8/8/2021,615.1543477,AK,Predicted
9/8/2021,617.011554,AK,Predicted
10/8/2021,618.8687604,AK,Predicted
11/8/2021,620.7259667,AK,Predicted
12/8/2021,622.5831731,AK,Predicted
13/8/2021,624.4403794,AK,Predicted
14/8/2021,626.2975857,AK,Predicted
15/8/2021,628.1547921,AK,Predicted
16/8/2021,630.0119984,AK,Predicted
17/8/2021,631.8692048,AK,Predicted
18/8/2021,633.7264111,AK,Predicted
19/8/2021,635.5836175,AK,Predicted
20/8/2021,637.4408238,AK,Predicted
21/8/2021,639.2980301,AK,Predicted
22/8/2021,641.1552365,AK,Predicted
23/8/2021,643.0124428,AK,Predicted
24/8/2021,644.8696492,AK,Predicted
25/8/2021,646.7268555,AK,Predicted
26/8/2021,648.5840618,AK,Predicted
27/8/2021,650.4412682,AK,Predicted
28/8/2021,652.2984745,AK,Predicted
29/8/2021,654.1556809,AK,Predicted
30/8/2021,656.0128872,AK,Predicted
31/8/2021,657.8700935,AK,Predicted
1/9/2021,659.7272999,AK,Predicted
2/9/2021,661.5845062,AK,Predicted
3/9/2021,663.4417126,AK,Predicted
4/9/2021,665.2989189,AK,Predicted
5/9/2021,667.1561252,AK,Predicted
6/9/2021,669.0133316,AK,Predicted
7/9/2021,670.8705379,AK,Predicted
8/9/2021,672.7277443,AK,Predicted
9/9/2021,674.5849506,AK,Predicted
10/9/2021,676.442157,AK,Predicted
11/9/2021,678.2993633,AK,Predicted
12/9/2021,680.1565696,AK,Predicted
13/9/2021,682.013776,AK,Predicted
14/9/2021,683.8709823,AK,Predicted
15/9/2021,685.7281887,AK,Predicted
16/9/2021,687.585395,AK,Predicted
17/9/2021,689.4426013,AK,Predicted
18/9/2021,691.2998077,AK,Predicted
19/9/2021,693.157014,AK,Predicted
20/9/2021,695.0142204,AK,Predicted
21/9/2021,696.8714267,AK,Predicted
22/9/2021,698.728633,AK,Predicted
23/9/2021,700.5858394,AK,Predicted
24/9/2021,702.4430457,AK,Predicted
25/9/2021,704.3002521,AK,Predicted
26/9/2021,706.1574584,AK,Predicted
27/9/2021,708.0146647,AK,Predicted
28/9/2021,709.8718711,AK,Predicted
29/9/2021,711.7290774,AK,Predicted
30/9/2021,713.5862838,AK,Predicted
1/10/2021,715.4434901,AK,Predicted
2/10/2021,717.3006964,AK,Predicted
3/10/2021,719.1579028,AK,Predicted
4/10/2021,721.0151091,AK,Predicted
5/10/2021,722.8723155,AK,Predicted
6/10/2021,724.7295218,AK,Predicted
7/10/2021,726.5867282,AK,Predicted
8/10/2021,728.4439345,AK,Predicted
9/10/2021,730.3011408,AK,Predicted
10/10/2021,732.1583472,AK,Predicted
11/10/2021,734.0155535,AK,Predicted
12/10/2021,735.8727599,AK,Predicted
13/10/2021,737.7299662,AK,Predicted
14/10/2021,739.5871725,AK,Predicted
15/10/2021,741.4443789,AK,Predicted
16/10/2021,743.3015852,AK,Predicted
17/10/2021,745.1587916,AK,Predicted
18/10/2021,747.0159979,AK,Predicted
19/10/2021,748.8732042,AK,Predicted
20/10/2021,750.7304106,AK,Predicted
21/10/2021,752.5876169,AK,Predicted
22/10/2021,754.4448233,AK,Predicted
23/10/2021,756.3020296,AK,Predicted
24/10/2021,758.1592359,AK,Predicted
25/10/2021,760.0164423,AK,Predicted
26/10/2021,761.8736486,AK,Predicted
27/10/2021,763.730855,AK,Predicted
28/10/2021,765.5880613,AK,Predicted
29/10/2021,767.4452677,AK,Predicted
30/10/2021,769.302474,AK,Predicted
31/10/2021,771.1596803,AK,Predicted
1/11/2021,773.0168867,AK,Predicted
2/11/2021,774.874093,AK,Predicted
3/11/2021,776.7312994,AK,Predicted
4/11/2021,778.5885057,AK,Predicted
5/11/2021,780.445712,AK,Predicted
6/11/2021,782.3029184,AK,Predicted
7/11/2021,784.1601247,AK,Predicted
8/11/2021,786.0173311,AK,Predicted
9/11/2021,787.8745374,AK,Predicted
10/11/2021,789.7317437,AK,Predicted
11/11/2021,791.5889501,AK,Predicted
12/11/2021,793.4461564,AK,Predicted
13/11/2021,795.3033628,AK,Predicted
14/11/2021,797.1605691,AK,Predicted
15/11/2021,799.0177754,AK,Predicted
16/11/2021,800.8749818,AK,Predicted
17/11/2021,802.7321881,AK,Predicted
18/11/2021,804.5893945,AK,Predicted
19/11/2021,806.4466008,AK,Predicted
20/11/2021,808.3038072,AK,Predicted
21/11/2021,810.1610135,AK,Predicted
22/11/2021,812.0182198,AK,Predicted
23/11/2021,813.8754262,AK,Predicted
24/11/2021,815.7326325,AK,Predicted
25/11/2021,817.5898389,AK,Predicted
26/11/2021,819.4470452,AK,Predicted
27/11/2021,821.3042515,AK,Predicted
28/11/2021,823.1614579,AK,Predicted
29/11/2021,825.0186642,AK,Predicted
30/11/2021,826.8758706,AK,Predicted
1/12/2021,828.7330769,AK,Predicted
2/12/2021,830.5902832,AK,Predicted
3/12/2021,832.4474896,AK,Predicted
4/12/2021,834.3046959,AK,Predicted
5/12/2021,836.1619023,AK,Predicted
6/12/2021,838.0191086,AK,Predicted
7/12/2021,839.8763149,AK,Predicted
8/12/2021,841.7335213,AK,Predicted
9/12/2021,843.5907276,AK,Predicted
10/12/2021,845.447934,AK,Predicted
11/12/2021,847.3051403,AK,Predicted
12/12/2021,849.1623467,AK,Predicted
13/12/2021,851.019553,AK,Predicted
14/12/2021,852.8767593,AK,Predicted
15/12/2021,854.7339657,AK,Predicted
16/12/2021,856.591172,AK,Predicted
17/12/2021,858.4483784,AK,Predicted
18/12/2021,860.3055847,AK,Predicted
19/12/2021,862.162791,AK,Predicted
20/12/2021,864.0199974,AK,Predicted
21/12/2021,865.8772037,AK,Predicted
22/12/2021,867.7344101,AK,Predicted
23/12/2021,869.5916164,AK,Predicted
24/12/2021,871.4488227,AK,Predicted
25/12/2021,873.3060291,AK,Predicted
26/12/2021,875.1632354,AK,Predicted
27/12/2021,877.0204418,AK,Predicted
28/12/2021,878.8776481,AK,Predicted
29/12/2021,880.7348544,AK,Predicted
30/12/2021,882.5920608,AK,Predicted
31/12/2021,884.4492671,AK,Predicted
7/3/2020,0,AL,Historical
8/3/2020,0,AL,Historical
9/3/2020,0,AL,Historical
10/3/2020,0,AL,Historical
11/3/2020,0,AL,Historical
12/3/2020,0,AL,Historical
13/3/2020,0,AL,Historical
14/3/2020,0,AL,Historical
15/3/2020,0,AL,Historical
16/3/2020,0,AL,Historical
17/3/2020,0,AL,Historical
18/3/2020,0,AL,Historical
19/3/2020,0,AL,Historical
20/3/2020,0,AL,Historical
21/3/2020,0,AL,Historical
22/3/2020,0,AL,Historical
23/3/2020,0,AL,Historical
24/3/2020,0,AL,Historical
25/3/2020,0,AL,Historical
26/3/2020,1,AL,Historical
27/3/2020,3,AL,Historical
28/3/2020,3,AL,Historical
29/3/2020,4,AL,Historical
30/3/2020,6,AL,Historical
31/3/2020,13,AL,Historical
1/4/2020,26,AL,Historical
2/4/2020,32,AL,Historical
3/4/2020,35,AL,Historical
4/4/2020,43,AL,Historical
5/4/2020,45,AL,Historical
6/4/2020,50,AL,Historical
7/4/2020,56,AL,Historical
8/4/2020,66,AL,Historical
9/4/2020,74,AL,Historical
10/4/2020,80,AL,Historical
11/4/2020,91,AL,Historical
12/4/2020,93,AL,Historical
13/4/2020,99,AL,Historical
14/4/2020,110,AL,Historical
15/4/2020,121,AL,Historical
16/4/2020,133,AL,Historical
17/4/2020,144,AL,Historical
18/4/2020,146,AL,Historical
19/4/2020,154,AL,Historical
20/4/2020,167,AL,Historical
21/4/2020,177,AL,Historical
22/4/2020,194,AL,Historical
23/4/2020,197,AL,Historical
24/4/2020,197,AL,Historical
25/4/2020,212,AL,Historical
26/4/2020,216,AL,Historical
27/4/2020,222,AL,Historical
28/4/2020,242,AL,Historical
29/4/2020,245,AL,Historical
30/4/2020,269,AL,Historical
1/5/2020,279,AL,Historical
2/5/2020,288,AL,Historical
3/5/2020,290,AL,Historical
4/5/2020,296,AL,Historical
5/5/2020,313,AL,Historical
6/5/2020,340,AL,Historical
7/5/2020,349,AL,Historical
8/5/2020,375,AL,Historical
9/5/2020,388,AL,Historical
10/5/2020,393,AL,Historical
11/5/2020,401,AL,Historical
12/5/2020,429,AL,Historical
13/5/2020,449,AL,Historical
14/5/2020,467,AL,Historical
15/5/2020,476,AL,Historical
16/5/2020,485,AL,Historical
17/5/2020,488,AL,Historical
18/5/2020,489,AL,Historical
19/5/2020,504,AL,Historical
20/5/2020,517,AL,Historical
21/5/2020,529,AL,Historical
22/5/2020,537,AL,Historical
23/5/2020,546,AL,Historical
24/5/2020,551,AL,Historical
25/5/2020,562,AL,Historical
26/5/2020,575,AL,Historical
27/5/2020,581,AL,Historical
28/5/2020,590,AL,Historical
29/5/2020,605,AL,Historical
30/5/2020,618,AL,Historical
31/5/2020,631,AL,Historical
1/6/2020,646,AL,Historical
2/6/2020,651,AL,Historical
3/6/2020,653,AL,Historical
4/6/2020,653,AL,Historical
5/6/2020,676,AL,Historical
6/6/2020,689,AL,Historical
7/6/2020,692,AL,Historical
8/6/2020,718,AL,Historical
9/6/2020,729,AL,Historical
10/6/2020,744,AL,Historical
11/6/2020,755,AL,Historical
12/6/2020,769,AL,Historical
13/6/2020,773,AL,Historical
14/6/2020,773,AL,Historical
15/6/2020,774,AL,Historical
16/6/2020,785,AL,Historical
17/6/2020,790,AL,Historical
18/6/2020,810,AL,Historical
19/6/2020,822,AL,Historical
20/6/2020,838,AL,Historical
21/6/2020,839,AL,Historical
22/6/2020,841,AL,Historical
