date,positive,state,is_predict
6/3/2020,0,AK,Historical
7/3/2020,0,AK,Historical
8/3/2020,0,AK,Historical
9/3/2020,0,AK,Historical
10/3/2020,0,AK,Historical
11/3/2020,0,AK,Historical
12/3/2020,0,AK,Historical
13/3/2020,0,AK,Historical
14/3/2020,0,AK,Historical
15/3/2020,0,AK,Historical
16/3/2020,0,AK,Historical
17/3/2020,3,AK,Historical
18/3/2020,8,AK,Historical
19/3/2020,11,AK,Historical
20/3/2020,14,AK,Historical
21/3/2020,15,AK,Historical
22/3/2020,25,AK,Historical
23/3/2020,38,AK,Historical
24/3/2020,42,AK,Historical
25/3/2020,49,AK,Historical
26/3/2020,63,AK,Historical
27/3/2020,74,AK,Historical
28/3/2020,91,AK,Historical
29/3/2020,110,AK,Historical
30/3/2020,118,AK,Historical
31/3/2020,128,AK,Historical
1/4/2020,141,AK,Historical
2/4/2020,149,AK,Historical
3/4/2020,160,AK,Historical
4/4/2020,171,AK,Historical
5/4/2020,185,AK,Historical
6/4/2020,191,AK,Historical
7/4/2020,213,AK,Historical
8/4/2020,226,AK,Historical
9/4/2020,235,AK,Historical
10/4/2020,246,AK,Historical
11/4/2020,257,AK,Historical
12/4/2020,272,AK,Historical
13/4/2020,277,AK,Historical
14/4/2020,285,AK,Historical
15/4/2020,293,AK,Historical
16/4/2020,300,AK,Historical
17/4/2020,309,AK,Historical
18/4/2020,314,AK,Historical
19/4/2020,319,AK,Historical
20/4/2020,321,AK,Historical
21/4/2020,329,AK,Historical
22/4/2020,335,AK,Historical
23/4/2020,337,AK,Historical
24/4/2020,339,AK,Historical
25/4/2020,339,AK,Historical
26/4/2020,341,AK,Historical
27/4/2020,345,AK,Historical
28/4/2020,351,AK,Historical
29/4/2020,355,AK,Historical
30/4/2020,355,AK,Historical
1/5/2020,364,AK,Historical
2/5/2020,365,AK,Historical
3/5/2020,368,AK,Historical
4/5/2020,370,AK,Historical
5/5/2020,371,AK,Historical
6/5/2020,372,AK,Historical
7/5/2020,374,AK,Historical
8/5/2020,377,AK,Historical
9/5/2020,378,AK,Historical
10/5/2020,379,AK,Historical
11/5/2020,381,AK,Historical
12/5/2020,383,AK,Historical
13/5/2020,384,AK,Historical
14/5/2020,389,AK,Historical
15/5/2020,390,AK,Historical
16/5/2020,394,AK,Historical
17/5/2020,398,AK,Historical
18/5/2020,401,AK,Historical
19/5/2020,401,AK,Historical
20/5/2020,404,AK,Historical
21/5/2020,404,AK,Historical
22/5/2020,406,AK,Historical
23/5/2020,410,AK,Historical
24/5/2020,410,AK,Historical
25/5/2020,411,AK,Historical
26/5/2020,413,AK,Historical
27/5/2020,414,AK,Historical
28/5/2020,427,AK,Historical
29/5/2020,432,AK,Historical
30/5/2020,435,AK,Historical
31/5/2020,463,AK,Historical
1/6/2020,470,AK,Historical
2/6/2020,490,AK,Historical
3/6/2020,508,AK,Historical
4/6/2020,518,AK,Historical
5/6/2020,529,AK,Historical
6/6/2020,541,AK,Historical
7/6/2020,549,AK,Historical
8/6/2020,567,AK,Historical
9/6/2020,578,AK,Historical
10/6/2020,598,AK,Historical
11/6/2020,616,AK,Historical
12/6/2020,630,AK,Historical
13/6/2020,656,AK,Historical
14/6/2020,665,AK,Historical
15/6/2020,668,AK,Historical
16/6/2020,681,AK,Historical
17/6/2020,701,AK,Historical
18/6/2020,713,AK,Historical
19/6/2020,729,AK,Historical
20/6/2020,750,AK,Historical
21/6/2020,761,AK,Historical
22/6/2020,767,AK,Historical
23/6/2020,783,AK,Historical
24/6/2020,797,AK,Historical
25/6/2020,821,AK,Historical
26/6/2020,839,AK,Historical
27/6/2020,858,AK,Historical
28/6/2020,887,AK,Historical
29/6/2020,908,AK,Historical
30/6/2020,944,AK,Historical
1/7/2020,982,AK,Historical
2/7/2020,1020,AK,Historical
3/7/2020,1065,AK,Historical
4/7/2020,1114,AK,Historical
5/7/2020,1141,AK,Historical
6/7/2020,1168,AK,Historical
7/7/2020,1186,AK,Historical
8/7/2020,1226,AK,Historical
9/7/2020,1273,AK,Historical
10/7/2020,1323,AK,Historical
11/7/2020,1386,AK,Historical
12/7/2020,1478,AK,Historical
13/7/2020,1537,AK,Historical
14/7/2020,1580,AK,Historical
15/7/2020,1631,AK,Historical
16/7/2020,1695,AK,Historical
17/7/2020,1737,AK,Historical
18/7/2020,1799,AK,Historical
19/7/2020,1882,AK,Historical
20/7/2020,1955,AK,Historical
21/7/2020,2045,AK,Historical
22/7/2020,2139,AK,Historical
23/7/2020,2203,AK,Historical
24/7/2020,2260,AK,Historical
25/7/2020,2348,AK,Historical
26/7/2020,2533,AK,Historical
27/7/2020,2627,AK,Historical
28/7/2020,2735,AK,Historical
29/7/2020,2803,AK,Historical
30/7/2020,2887,AK,Historical
31/7/2020,2993,AK,Historical
1/8/2020,3137,AK,Historical
2/8/2020,3273,AK,Historical
3/8/2020,3331,AK,Historical
4/8/2020,3392,AK,Historical
5/8/2020,3447,AK,Historical
6/8/2020,3487,AK,Historical
7/8/2020,3542,AK,Historical
8/8/2020,3621,AK,Historical
9/8/2020,3718,AK,Historical
10/8/2020,3786,AK,Historical
11/8/2020,3835,AK,Historical
12/8/2020,3896,AK,Historical
13/8/2020,3978,AK,Historical
14/8/2020,4078,AK,Historical
15/8/2020,4162,AK,Historical
16/8/2020,4263,AK,Historical
17/8/2020,4313,AK,Historical
18/8/2020,4379,AK,Historical
19/8/2020,4452,AK,Historical
20/8/2020,4535,AK,Historical
21/8/2020,4604,AK,Historical
22/8/2020,4692,AK,Historical
23/8/2020,4758,AK,Historical
24/8/2020,4829,AK,Historical
25/8/2020,4862,AK,Historical
26/8/2020,4914,AK,Historical
27/8/2020,4998,AK,Historical
28/8/2020,5114,AK,Historical
29/8/2020,5207,AK,Historical
30/8/2020,5250,AK,Historical
31/8/2020,5286,AK,Historical
1/9/2020,5321,AK,Historical
2/9/2020,5387,AK,Historical
3/9/2020,5475,AK,Historical
4/9/2020,5594,AK,Historical
5/9/2020,5681,AK,Historical
6/9/2020,5776,AK,Historical
7/9/2020,5810,AK,Historical
8/9/2020,5843,AK,Historical
9/9/2020,5908,AK,Historical
10/9/2020,6022,AK,Historical
11/9/2020,6111,AK,Historical
12/9/2020,6214,AK,Historical
13/9/2020,6275,AK,Historical
14/9/2020,6350,AK,Historical
15/9/2020,6393,AK,Historical
16/9/2020,6443,AK,Historical
17/9/2020,6551,AK,Historical
18/9/2020,6658,AK,Historical
19/9/2020,6752,AK,Historical
20/9/2020,6860,AK,Historical
21/9/2020,6930,AK,Historical
22/9/2020,6987,AK,Historical
23/9/2020,7063,AK,Historical
24/9/2020,7194,AK,Historical
25/9/2020,7320,AK,Historical
26/9/2020,7439,AK,Historical
27/9/2020,7549,AK,Historical
28/9/2020,7663,AK,Historical
29/9/2020,7785,AK,Historical
30/9/2020,7889,AK,Historical
1/10/2020,8026,AK,Historical
2/10/2020,8167,AK,Historical
3/10/2020,8306,AK,Historical
4/10/2020,8447,AK,Historical
5/10/2020,8643,AK,Historical
6/10/2020,8790,AK,Historical
7/10/2020,8911,AK,Historical
8/10/2020,9045,AK,Historical
9/10/2020,9232,AK,Historical
10/10/2020,9462,AK,Historical
11/10/2020,9712,AK,Historical
12/10/2020,9903,AK,Historical
13/10/2020,10059,AK,Historical
14/10/2020,10214,AK,Historical
15/10/2020,10380,AK,Historical
16/10/2020,10601,AK,Historical
17/10/2020,10811,AK,Historical
18/10/2020,11021,AK,Historical
19/10/2020,11225,AK,Historical
20/10/2020,11456,AK,Historical
21/10/2020,11680,AK,Historical
22/10/2020,11919,AK,Historical
23/10/2020,12167,AK,Historical
24/10/2020,12523,AK,Historical
25/10/2020,13041,AK,Historical
26/10/2020,13391,AK,Historical
27/10/2020,13779,AK,Historical
28/10/2020,14131,AK,Historical
29/10/2020,14481,AK,Historical
30/10/2020,14858,AK,Historical
31/10/2020,15312,AK,Historical
1/11/2020,15663,AK,Historical
2/11/2020,16007,AK,Historical
3/11/2020,16390,AK,Historical
4/11/2020,16798,AK,Historical
5/11/2020,17111,AK,Historical
6/11/2020,17618,AK,Historical
7/11/2020,18221,AK,Historical
8/11/2020,18732,AK,Historical
9/11/2020,19196,AK,Historical
10/11/2020,19734,AK,Historical
11/11/2020,20221,AK,Historical
12/11/2020,20702,AK,Historical
13/11/2020,21286,AK,Historical
14/11/2020,22020,AK,Historical
15/11/2020,22662,AK,Historical
16/11/2020,23240,AK,Historical
17/11/2020,23874,AK,Historical
18/11/2020,24419,AK,Historical
19/11/2020,24909,AK,Historical
20/11/2020,25369,AK,Historical
21/11/2020,26044,AK,Historical
22/11/2020,26587,AK,Historical
23/11/2020,27085,AK,Historical
24/11/2020,27669,AK,Historical
25/11/2020,28339,AK,Historical
26/11/2020,28892,AK,Historical
27/11/2020,29554,AK,Historical
28/11/2020,30204,AK,Historical
29/11/2020,30816,AK,Historical
30/11/2020,31323,AK,Historical
1/12/2020,31834,AK,Historical
2/12/2020,32531,AK,Historical
3/12/2020,33291,AK,Historical
4/12/2020,34041,AK,Historical
5/12/2020,34963,AK,Historical
6/12/2020,35720,AK,Historical
7/12/2020,36196,AK,Historical
8/12/2020,36758,AK,Historical
9/12/2020,37342,AK,Historical
10/12/2020,37962,AK,Historical
11/12/2020,38584,AK,Historical
12/12/2020,39101,AK,Historical
13/12/2020,39738,AK,Historical
14/12/2020,40160,AK,Historical
15/12/2020,40438,AK,Historical
16/12/2020,41041,AK,Historical
17/12/2020,41418,AK,Historical
18/12/2020,41905,AK,Historical
19/12/2020,42235,AK,Historical
20/12/2020,42413,AK,Historical
21/12/2020,42563,AK,Historical
22/12/2020,43001,AK,Historical
23/12/2020,43361,AK,Historical
24/12/2020,43629,AK,Historical
25/12/2020,43629,AK,Historical
26/12/2020,43990,AK,Historical
27/12/2020,44280,AK,Historical
28/12/2020,44406,AK,Historical
29/12/2020,44581,AK,Historical
30/12/2020,44966,AK,Historical
31/12/2020,45461,AK,Historical
1/1/2021,45461,AK,Historical
2/1/2021,46262,AK,Historical
3/1/2021,46552,AK,Historical
4/1/2021,46812,AK,Historical
5/1/2021,47006,AK,Historical
6/1/2021,47334,AK,Historical
7/1/2021,47660,AK,Historical
8/1/2021,48063,AK,Historical
9/1/2021,48374,AK,Historical
10/1/2021,48624,AK,Historical
11/1/2021,48797,AK,Historical
12/1/2021,48797,AK,Historical
13/1/2021,49203,AK,Historical
14/1/2021,49535,AK,Historical
15/1/2021,49835,AK,Historical
16/1/2021,50017,AK,Historical
17/1/2021,50296,AK,Historical
18/1/2021,50447,AK,Historical
19/1/2021,50572,AK,Historical
20/1/2021,50732,AK,Historical
21/1/2021,50941,AK,Historical
22/1/2021,51204,AK,Historical
23/1/2021,51445,AK,Historical
24/1/2021,51610,AK,Historical
25/1/2021,51693,AK,Historical
26/1/2021,51778,AK,Historical
27/1/2021,51951,AK,Historical
28/1/2021,52150,AK,Historical
29/1/2021,52335,AK,Historical
30/1/2021,52470,AK,Historical
31/1/2021,52598,AK,Historical
1/2/2021,52668,AK,Historical
2/2/2021,52775,AK,Historical
3/2/2021,52956,AK,Historical
4/2/2021,53114,AK,Historical
5/2/2021,53279,AK,Historical
6/2/2021,53279,AK,Historical
7/2/2021,53279,AK,Historical
8/2/2021,53694,AK,Historical
9/2/2021,53882.22712,AK,Predicted
10/2/2021,54011.01066,AK,Predicted
11/2/2021,54149.14475,AK,Predicted
12/2/2021,54310.07837,AK,Predicted
13/2/2021,54487.23377,AK,Predicted
14/2/2021,54671.8108,AK,Predicted
15/2/2021,54858.30569,AK,Predicted
16/2/2021,55044.47206,AK,Predicted
17/2/2021,55229.88095,AK,Predicted
18/2/2021,55414.75543,AK,Predicted
19/2/2021,55599.38706,AK,Predicted
20/2/2021,55783.95684,AK,Predicted
21/2/2021,55968.53812,AK,Predicted
22/2/2021,56153.14455,AK,Predicted
23/2/2021,56337.76859,AK,Predicted
24/2/2021,56522.40058,AK,Predicted
25/2/2021,56707.03456,AK,Predicted
26/2/2021,56891.66814,AK,Predicted
27/2/2021,57076.30088,AK,Predicted
28/2/2021,57260.93304,AK,Predicted
1/3/2021,57445.56494,AK,Predicted
2/3/2021,57630.19678,AK,Predicted
3/3/2021,57814.82864,AK,Predicted
4/3/2021,57999.46052,AK,Predicted
5/3/2021,58184.09242,AK,Predicted
6/3/2021,58368.72432,AK,Predicted
7/3/2021,58553.35623,AK,Predicted
8/3/2021,58737.98814,AK,Predicted
9/3/2021,58922.62005,AK,Predicted
10/3/2021,59107.25196,AK,Predicted
11/3/2021,59291.88387,AK,Predicted
12/3/2021,59476.51577,AK,Predicted
13/3/2021,59661.14768,AK,Predicted
14/3/2021,59845.77959,AK,Predicted
15/3/2021,60030.4115,AK,Predicted
16/3/2021,60215.0434,AK,Predicted
17/3/2021,60399.67531,AK,Predicted
18/3/2021,60584.30722,AK,Predicted
19/3/2021,60768.93913,AK,Predicted
20/3/2021,60953.57104,AK,Predicted
21/3/2021,61138.20294,AK,Predicted
22/3/2021,61322.83485,AK,Predicted
23/3/2021,61507.46676,AK,Predicted
24/3/2021,61692.09867,AK,Predicted
25/3/2021,61876.73057,AK,Predicted
26/3/2021,62061.36248,AK,Predicted
27/3/2021,62245.99439,AK,Predicted
28/3/2021,62430.6263,AK,Predicted
29/3/2021,62615.2582,AK,Predicted
30/3/2021,62799.89011,AK,Predicted
31/3/2021,62984.52202,AK,Predicted
1/4/2021,63169.15393,AK,Predicted
2/4/2021,63353.78583,AK,Predicted
3/4/2021,63538.41774,AK,Predicted
4/4/2021,63723.04965,AK,Predicted
5/4/2021,63907.68156,AK,Predicted
6/4/2021,64092.31347,AK,Predicted
7/4/2021,64276.94537,AK,Predicted
8/4/2021,64461.57728,AK,Predicted
9/4/2021,64646.20919,AK,Predicted
10/4/2021,64830.8411,AK,Predicted
11/4/2021,65015.473,AK,Predicted
12/4/2021,65200.10491,AK,Predicted
13/4/2021,65384.73682,AK,Predicted
14/4/2021,65569.36873,AK,Predicted
15/4/2021,65754.00063,AK,Predicted
16/4/2021,65938.63254,AK,Predicted
17/4/2021,66123.26445,AK,Predicted
18/4/2021,66307.89636,AK,Predicted
19/4/2021,66492.52827,AK,Predicted
20/4/2021,66677.16017,AK,Predicted
21/4/2021,66861.79208,AK,Predicted
22/4/2021,67046.42399,AK,Predicted
23/4/2021,67231.0559,AK,Predicted
24/4/2021,67415.6878,AK,Predicted
25/4/2021,67600.31971,AK,Predicted
26/4/2021,67784.95162,AK,Predicted
27/4/2021,67969.58353,AK,Predicted
28/4/2021,68154.21543,AK,Predicted
29/4/2021,68338.84734,AK,Predicted
30/4/2021,68523.47925,AK,Predicted
1/5/2021,68708.11116,AK,Predicted
2/5/2021,68892.74306,AK,Predicted
3/5/2021,69077.37497,AK,Predicted
4/5/2021,69262.00688,AK,Predicted
5/5/2021,69446.63879,AK,Predicted
6/5/2021,69631.2707,AK,Predicted
7/5/2021,69815.9026,AK,Predicted
8/5/2021,70000.53451,AK,Predicted
9/5/2021,70185.16642,AK,Predicted
10/5/2021,70369.79833,AK,Predicted
11/5/2021,70554.43023,AK,Predicted
12/5/2021,70739.06214,AK,Predicted
13/5/2021,70923.69405,AK,Predicted
14/5/2021,71108.32596,AK,Predicted
15/5/2021,71292.95786,AK,Predicted
16/5/2021,71477.58977,AK,Predicted
17/5/2021,71662.22168,AK,Predicted
18/5/2021,71846.85359,AK,Predicted
19/5/2021,72031.48549,AK,Predicted
20/5/2021,72216.1174,AK,Predicted
21/5/2021,72400.74931,AK,Predicted
22/5/2021,72585.38122,AK,Predicted
23/5/2021,72770.01313,AK,Predicted
24/5/2021,72954.64503,AK,Predicted
25/5/2021,73139.27694,AK,Predicted
26/5/2021,73323.90885,AK,Predicted
27/5/2021,73508.54076,AK,Predicted
28/5/2021,73693.17266,AK,Predicted
29/5/2021,73877.80457,AK,Predicted
30/5/2021,74062.43648,AK,Predicted
31/5/2021,74247.06839,AK,Predicted
1/6/2021,74431.70029,AK,Predicted
2/6/2021,74616.3322,AK,Predicted
3/6/2021,74800.96411,AK,Predicted
4/6/2021,74985.59602,AK,Predicted
5/6/2021,75170.22793,AK,Predicted
6/6/2021,75354.85983,AK,Predicted
7/6/2021,75539.49174,AK,Predicted
8/6/2021,75724.12365,AK,Predicted
9/6/2021,75908.75556,AK,Predicted
10/6/2021,76093.38746,AK,Predicted
11/6/2021,76278.01937,AK,Predicted
12/6/2021,76462.65128,AK,Predicted
13/6/2021,76647.28319,AK,Predicted
14/6/2021,76831.91509,AK,Predicted
15/6/2021,77016.547,AK,Predicted
16/6/2021,77201.17891,AK,Predicted
17/6/2021,77385.81082,AK,Predicted
18/6/2021,77570.44272,AK,Predicted
19/6/2021,77755.07463,AK,Predicted
20/6/2021,77939.70654,AK,Predicted
21/6/2021,78124.33845,AK,Predicted
22/6/2021,78308.97036,AK,Predicted
23/6/2021,78493.60226,AK,Predicted
24/6/2021,78678.23417,AK,Predicted
25/6/2021,78862.86608,AK,Predicted
26/6/2021,79047.49799,AK,Predicted
27/6/2021,79232.12989,AK,Predicted
28/6/2021,79416.7618,AK,Predicted
29/6/2021,79601.39371,AK,Predicted
30/6/2021,79786.02562,AK,Predicted
1/7/2021,79970.65752,AK,Predicted
2/7/2021,80155.28943,AK,Predicted
3/7/2021,80339.92134,AK,Predicted
4/7/2021,80524.55325,AK,Predicted
5/7/2021,80709.18516,AK,Predicted
6/7/2021,80893.81706,AK,Predicted
7/7/2021,81078.44897,AK,Predicted
8/7/2021,81263.08088,AK,Predicted
9/7/2021,81447.71279,AK,Predicted
10/7/2021,81632.34469,AK,Predicted
11/7/2021,81816.9766,AK,Predicted
12/7/2021,82001.60851,AK,Predicted
13/7/2021,82186.24042,AK,Predicted
14/7/2021,82370.87232,AK,Predicted
15/7/2021,82555.50423,AK,Predicted
16/7/2021,82740.13614,AK,Predicted
17/7/2021,82924.76805,AK,Predicted
18/7/2021,83109.39995,AK,Predicted
19/7/2021,83294.03186,AK,Predicted
20/7/2021,83478.66377,AK,Predicted
21/7/2021,83663.29568,AK,Predicted
22/7/2021,83847.92759,AK,Predicted
23/7/2021,84032.55949,AK,Predicted
24/7/2021,84217.1914,AK,Predicted
25/7/2021,84401.82331,AK,Predicted
26/7/2021,84586.45522,AK,Predicted
27/7/2021,84771.08712,AK,Predicted
28/7/2021,84955.71903,AK,Predicted
29/7/2021,85140.35094,AK,Predicted
30/7/2021,85324.98285,AK,Predicted
31/7/2021,85509.61475,AK,Predicted
1/8/2021,85694.24666,AK,Predicted
2/8/2021,85878.87857,AK,Predicted
3/8/2021,86063.51048,AK,Predicted
4/8/2021,86248.14238,AK,Predicted
5/8/2021,86432.77429,AK,Predicted
6/8/2021,86617.4062,AK,Predicted
7/8/2021,86802.03811,AK,Predicted
8/8/2021,86986.67002,AK,Predicted
9/8/2021,87171.30192,AK,Predicted
10/8/2021,87355.93383,AK,Predicted
11/8/2021,87540.56574,AK,Predicted
12/8/2021,87725.19765,AK,Predicted
13/8/2021,87909.82955,AK,Predicted
14/8/2021,88094.46146,AK,Predicted
15/8/2021,88279.09337,AK,Predicted
16/8/2021,88463.72528,AK,Predicted
17/8/2021,88648.35718,AK,Predicted
18/8/2021,88832.98909,AK,Predicted
19/8/2021,89017.621,AK,Predicted
20/8/2021,89202.25291,AK,Predicted
21/8/2021,89386.88482,AK,Predicted
22/8/2021,89571.51672,AK,Predicted
23/8/2021,89756.14863,AK,Predicted
24/8/2021,89940.78054,AK,Predicted
25/8/2021,90125.41245,AK,Predicted
26/8/2021,90310.04435,AK,Predicted
27/8/2021,90494.67626,AK,Predicted
28/8/2021,90679.30817,AK,Predicted
29/8/2021,90863.94008,AK,Predicted
30/8/2021,91048.57198,AK,Predicted
31/8/2021,91233.20389,AK,Predicted
1/9/2021,91417.8358,AK,Predicted
2/9/2021,91602.46771,AK,Predicted
3/9/2021,91787.09961,AK,Predicted
4/9/2021,91971.73152,AK,Predicted
5/9/2021,92156.36343,AK,Predicted
6/9/2021,92340.99534,AK,Predicted
7/9/2021,92525.62725,AK,Predicted
8/9/2021,92710.25915,AK,Predicted
9/9/2021,92894.89106,AK,Predicted
10/9/2021,93079.52297,AK,Predicted
11/9/2021,93264.15488,AK,Predicted
12/9/2021,93448.78678,AK,Predicted
13/9/2021,93633.41869,AK,Predicted
14/9/2021,93818.0506,AK,Predicted
15/9/2021,94002.68251,AK,Predicted
16/9/2021,94187.31441,AK,Predicted
17/9/2021,94371.94632,AK,Predicted
18/9/2021,94556.57823,AK,Predicted
19/9/2021,94741.21014,AK,Predicted
20/9/2021,94925.84205,AK,Predicted
21/9/2021,95110.47395,AK,Predicted
22/9/2021,95295.10586,AK,Predicted
23/9/2021,95479.73777,AK,Predicted
24/9/2021,95664.36968,AK,Predicted
25/9/2021,95849.00158,AK,Predicted
26/9/2021,96033.63349,AK,Predicted
27/9/2021,96218.2654,AK,Predicted
28/9/2021,96402.89731,AK,Predicted
29/9/2021,96587.52921,AK,Predicted
30/9/2021,96772.16112,AK,Predicted
1/10/2021,96956.79303,AK,Predicted
2/10/2021,97141.42494,AK,Predicted
3/10/2021,97326.05684,AK,Predicted
4/10/2021,97510.68875,AK,Predicted
5/10/2021,97695.32066,AK,Predicted
6/10/2021,97879.95257,AK,Predicted
7/10/2021,98064.58448,AK,Predicted
8/10/2021,98249.21638,AK,Predicted
9/10/2021,98433.84829,AK,Predicted
10/10/2021,98618.4802,AK,Predicted
11/10/2021,98803.11211,AK,Predicted
12/10/2021,98987.74401,AK,Predicted
13/10/2021,99172.37592,AK,Predicted
14/10/2021,99357.00783,AK,Predicted
15/10/2021,99541.63974,AK,Predicted
16/10/2021,99726.27164,AK,Predicted
17/10/2021,99910.90355,AK,Predicted
18/10/2021,100095.5355,AK,Predicted
19/10/2021,100280.1674,AK,Predicted
20/10/2021,100464.7993,AK,Predicted
21/10/2021,100649.4312,AK,Predicted
22/10/2021,100834.0631,AK,Predicted
23/10/2021,101018.695,AK,Predicted
24/10/2021,101203.3269,AK,Predicted
25/10/2021,101387.9588,AK,Predicted
26/10/2021,101572.5907,AK,Predicted
27/10/2021,101757.2226,AK,Predicted
28/10/2021,101941.8545,AK,Predicted
29/10/2021,102126.4864,AK,Predicted
30/10/2021,102311.1184,AK,Predicted
31/10/2021,102495.7503,AK,Predicted
1/11/2021,102680.3822,AK,Predicted
2/11/2021,102865.0141,AK,Predicted
3/11/2021,103049.646,AK,Predicted
4/11/2021,103234.2779,AK,Predicted
5/11/2021,103418.9098,AK,Predicted
6/11/2021,103603.5417,AK,Predicted
7/11/2021,103788.1736,AK,Predicted
8/11/2021,103972.8055,AK,Predicted
9/11/2021,104157.4374,AK,Predicted
10/11/2021,104342.0693,AK,Predicted
11/11/2021,104526.7012,AK,Predicted
12/11/2021,104711.3332,AK,Predicted
13/11/2021,104895.9651,AK,Predicted
14/11/2021,105080.597,AK,Predicted
15/11/2021,105265.2289,AK,Predicted
16/11/2021,105449.8608,AK,Predicted
17/11/2021,105634.4927,AK,Predicted
18/11/2021,105819.1246,AK,Predicted
19/11/2021,106003.7565,AK,Predicted
20/11/2021,106188.3884,AK,Predicted
21/11/2021,106373.0203,AK,Predicted
22/11/2021,106557.6522,AK,Predicted
23/11/2021,106742.2841,AK,Predicted
24/11/2021,106926.916,AK,Predicted
25/11/2021,107111.548,AK,Predicted
26/11/2021,107296.1799,AK,Predicted
27/11/2021,107480.8118,AK,Predicted
28/11/2021,107665.4437,AK,Predicted
29/11/2021,107850.0756,AK,Predicted
30/11/2021,108034.7075,AK,Predicted
1/12/2021,108219.3394,AK,Predicted
2/12/2021,108403.9713,AK,Predicted
3/12/2021,108588.6032,AK,Predicted
4/12/2021,108773.2351,AK,Predicted
5/12/2021,108957.867,AK,Predicted
6/12/2021,109142.4989,AK,Predicted
7/12/2021,109327.1308,AK,Predicted
8/12/2021,109511.7628,AK,Predicted
9/12/2021,109696.3947,AK,Predicted
10/12/2021,109881.0266,AK,Predicted
11/12/2021,110065.6585,AK,Predicted
12/12/2021,110250.2904,AK,Predicted
13/12/2021,110434.9223,AK,Predicted
14/12/2021,110619.5542,AK,Predicted
15/12/2021,110804.1861,AK,Predicted
16/12/2021,110988.818,AK,Predicted
17/12/2021,111173.4499,AK,Predicted
18/12/2021,111358.0818,AK,Predicted
19/12/2021,111542.7137,AK,Predicted
20/12/2021,111727.3456,AK,Predicted
21/12/2021,111911.9775,AK,Predicted
22/12/2021,112096.6095,AK,Predicted
23/12/2021,112281.2414,AK,Predicted
24/12/2021,112465.8733,AK,Predicted
25/12/2021,112650.5052,AK,Predicted
26/12/2021,112835.1371,AK,Predicted
27/12/2021,113019.769,AK,Predicted
28/12/2021,113204.4009,AK,Predicted
29/12/2021,113389.0328,AK,Predicted
30/12/2021,113573.6647,AK,Predicted
31/12/2021,113758.2966,AK,Predicted
7/3/2020,0,AL,Historical
8/3/2020,0,AL,Historical
9/3/2020,0,AL,Historical
10/3/2020,0,AL,Historical
11/3/2020,0,AL,Historical
12/3/2020,0,AL,Historical
13/3/2020,1,AL,Historical
14/3/2020,6,AL,Historical
15/3/2020,12,AL,Historical
16/3/2020,28,AL,Historical
17/3/2020,36,AL,Historical
18/3/2020,46,AL,Historical
19/3/2020,68,AL,Historical
20/3/2020,81,AL,Historical
21/3/2020,124,AL,Historical
22/3/2020,138,AL,Historical
23/3/2020,167,AL,Historical
24/3/2020,215,AL,Historical
25/3/2020,283,AL,Historical
26/3/2020,506,AL,Historical
27/3/2020,587,AL,Historical
28/3/2020,696,AL,Historical
29/3/2020,806,AL,Historical
30/3/2020,859,AL,Historical
31/3/2020,981,AL,Historical
1/4/2020,1077,AL,Historical
2/4/2020,1233,AL,Historical
3/4/2020,1432,AL,Historical
4/4/2020,1580,AL,Historical
5/4/2020,1796,AL,Historical
6/4/2020,1968,AL,Historical
7/4/2020,2119,AL,Historical
8/4/2020,2369,AL,Historical
9/4/2020,2769,AL,Historical
10/4/2020,2968,AL,Historical
11/4/2020,3191,AL,Historical
12/4/2020,3525,AL,Historical
13/4/2020,3734,AL,Historical
14/4/2020,3876,AL,Historical
15/4/2020,4113,AL,Historical
16/4/2020,4345,AL,Historical
17/4/2020,4530,AL,Historical
18/4/2020,4655,AL,Historical
19/4/2020,4837,AL,Historical
20/4/2020,5025,AL,Historical
21/4/2020,5231,AL,Historical
22/4/2020,5465,AL,Historical
23/4/2020,5778,AL,Historical
24/4/2020,5832,AL,Historical
25/4/2020,6137,AL,Historical
26/4/2020,6270,AL,Historical
27/4/2020,6499,AL,Historical
28/4/2020,6687,AL,Historical
29/4/2020,6842,AL,Historical
30/4/2020,7019,AL,Historical
1/5/2020,7158,AL,Historical
2/5/2020,7434,AL,Historical
3/5/2020,7725,AL,Historical
4/5/2020,8025,AL,Historical
5/5/2020,8285,AL,Historical
6/5/2020,8581,AL,Historical
7/5/2020,8898,AL,Historical
8/5/2020,9221,AL,Historical
9/5/2020,9567,AL,Historical
10/5/2020,9777,AL,Historical
11/5/2020,10009,AL,Historical
12/5/2020,10310,AL,Historical
13/5/2020,10617,AL,Historical
14/5/2020,10968,AL,Historical
15/5/2020,11216,AL,Historical
16/5/2020,11523,AL,Historical
17/5/2020,11771,AL,Historical
18/5/2020,12086,AL,Historical
19/5/2020,12376,AL,Historical
20/5/2020,12744,AL,Historical
21/5/2020,13119,AL,Historical
22/5/2020,13563,AL,Historical
23/5/2020,13938,AL,Historical
24/5/2020,14327,AL,Historical
25/5/2020,14730,AL,Historical
26/5/2020,15396,AL,Historical
27/5/2020,15843,AL,Historical
28/5/2020,16310,AL,Historical
29/5/2020,16823,AL,Historical
30/5/2020,17359,AL,Historical
31/5/2020,17903,AL,Historical
1/6/2020,18363,AL,Historical
2/6/2020,18642,AL,Historical
3/6/2020,18851,AL,Historical
